x,y
6,19
28,14
10,7
28,20
6,25
18,22
10,10
23,20
3,7
23,2
21,20
1,23
11,29
5,1
27,20
0,11
25,21
28,11
24,16
26,26
30,9
27,27
15,14
29,29
14,29
18,11
22,19
24,2
4,18
6,20
8,6
17,3
24,27
13,17
25,8
25,20
1,19
27,14
27,6
11,28
7,14
2,13
16,3
17,7
3,1
29,5
21,9
3,21
28,30
17,25
11,1
9,29
3,13
30,15
14,7
13,22
27,24
29,7
20,15
12,17
14,20
23,25
24,27
27,27
12,8
28,14
12,0
24,6
8,23
0,11
7,23
30,10
18,16
7,2
2,0
26,4
9,6
25,8
27,6
8,7
11,1
0,15
22,22
29,23
4,2
11,7
21,26
2,0
2,4
14,13
2,0
4,25
22,30
13,6
26,8
14,14
25,9
27,12
18,30
6,16
